"id","where","jobs","cost","cost2"
"S001","China",73.7934131821085,698.36176601568,533.550719245277
"S002","China",86.2121883053476,676.193295000351,536.835516664372
"S003","China",86.6811127564172,667.539876783223,509.952145635501
"S004","China",67.5159168729686,686.242104788136,533.443877996153
"S005","China",70.5688243834846,677.462402281774,523.361476356273
"S006","China",81.3591173284419,690.485872820069,543.540639940527
"S007","China",72.0694050964002,681.59497937802,525.832272276016
"S008","China",71.0967687237389,690.590694948398,538.929206772193
"S009","China",74.3508161573504,664.170228676266,551.665422426428
"S010","China",69.4995113394852,693.732468668557,520.614817585347
"S011","China",82.6009626420951,660.55468664229,565.554065717795
"S012","China",80.3890056862686,686.411923094338,530.450420698624
"S013","China",68.477282691581,675.375771546596,524.4322898145
"S014","China",94.6707613799703,668.802253333964,517.725601745828
"S015","China",72.1387784759467,690.28848478799,500.143174545151
"S016","China",77.0261062551164,674.901141798739,523.492907403984
"S017","China",83.3382467376123,668.136691559633,513.634376191013
"S018","China",82.5010500219936,686.460636922005,520.141741339334
"S019","China",72.579733916728,685.775537329856,540.071356261325
"S020","China",74.7372735583124,687.323939693805,535.352377114468
"S021","China",79.1800558491871,681.40330760489,546.139106210576
"S022","China",97.3785749059487,673.777265307547,528.396644176323
"S023","China",72.9647983985062,680.37399157417,521.331939971164
"S024","China",70.678602826769,686.716282369352,544.22076336219
"S025","China",71.5659120003523,687.550631184582,547.494464900192
"S026","China",80.5060038849112,676.892633674086,504.398253069647
"S027","China",71.9431944415078,674.11578773806,519.793662478555
"S028","China",87.7896215565397,672.566500320791,529.473887685102
"S029","China",73.6034891966211,681.413381590325,528.902307466225
"S030","China",73.4241735612223,675.302140695153,542.42663894621
"S031","China",77.2096173579267,680.798499695778,522.173982824185
"S032","China",72.7895687833708,675.356400866256,547.674211239785
"S033","China",76.5113007938448,683.359061388068,514.888902469698
"S034","China",77.1577538931102,692.534875105159,533.855623961333
"S035","China",91.447253650563,665.605057358034,531.951871748094
"S036","China",89.2461764986549,683.717833172751,531.486269232655
"S037","China",74.3735392623011,703.637841625652,518.876704555539
"S038","China",67.5535434644159,693.220885790971,529.51378680474
"S039","China",72.0642509682741,684.479597966888,537.669587133147
"S040","China",72.3258764840921,678.505362135431,544.093065099717
"S041","China",75.9290234219225,691.635886927554,515.665170935388
"S042","China",74.7077702529417,693.465904004633,532.667235723539
"S043","China",93.2687684124082,672.844315752512,552.281716040694
"S044","China",69.4855315177517,681.521404875032,535.836016405278
"S045","China",73.5006578554975,683.036577705768,548.794716438743
"S046","China",86.476956762778,675.177033665121,528.863928759678
"S047","China",78.2576392292226,670.569702459864,539.482743493273
"S048","China",72.0903185161976,676.927921124032,517.93787037631
"S049","China",70.9976021629162,676.940620012855,539.641876452347
"S050","China",69.5876420782106,676.75955264786,537.644973388588
"S051","China",83.9782747052116,680.260699646885,520.304927546866
"S052","China",75.4106145123374,681.400238724823,526.429503214921
"S053","China",75.5022139952449,693.268351888156,533.379349788958
"S054","China",84.4961825574701,691.978157360379,537.77210263399
"S055","China",76.5620733658871,664.648846427282,508.046514822073
"S056","China",84.6747992907158,671.834356119041,519.701793296218
"S057","China",84.2663627727814,674.624969244985,528.507925131531
"S058","China",73.4633069220981,680.060663567079,519.211626207682
"S059","China",89.9644951795293,668.262009887192,518.84104327599
"S060","China",66.5738121008255,684.293343434998,526.595068768159
"S061","China",81.4666569335935,681.987404591604,507.818711042321
"S062","China",87.4661697016087,675.139105015436,514.712040127453
"S063","China",78.8614835625907,685.193587983624,529.026187290356
"S064","China",65.3856420852478,679.667999300296,501.383405178924
"S065","China",74.6113829910448,674.487337047085,525.187934892634
"S066","China",77.3945836371507,673.102638527894,529.065513350205
"S067","China",65.6596393228534,692.432330053369,517.34236083912
"S068","China",65.560820259617,700.20160933069,536.093767387325
"S069","China",74.3461655545212,684.219013690741,531.74309340506
"S070","China",71.1621711118727,692.366784961682,522.548583088202
"S071","China",89.5638757382627,681.348545006342,556.107778209487
"S072","China",81.1295168232325,687.250626266273,515.17149529737
"S073","China",83.300984028281,664.91561631115,548.121278796718
"S074","China",82.8445514055607,673.861635717345,543.771682255702
"S075","China",74.6338917714721,694.253373520697,526.416266133595
"S076","China",75.9278802156521,692.9942807359,541.882995441405
"S077","China",76.3229713859328,681.209405061247,520.819872785651
"S078","China",88.4420327761028,662.675687881546,557.528510263553
"S079","China",85.8815090177156,663.541608089465,523.509719052456
"S080","China",75.6563785438999,674.579669259497,546.905545966991
"S081","China",83.3297676088112,699.3700582766,538.026679281332
"S082","China",79.0954954612535,679.744937040087,527.521719528287
"S083","China",73.131257887151,690.672050665234,534.533313091535
"S084","China",84.2169095911184,674.326795340764,531.893283514333
"S085","China",77.6688493342386,686.937541630135,546.974931611868
"S086","China",65.6824465729458,668.507592076224,521.602438852617
"S087","China",85.1285754059075,665.075819582559,522.136803793501
"S088","China",88.8823440211113,677.766411422263,529.696013697719
"S089","China",72.3417827994722,690.428506506624,540.110930494517
"S090","China",74.9191894888098,680.200229575839,530.137306813789
"S091","China",58.9029958133744,682.273519013055,545.864319792703
"S092","China",82.1063739924447,668.98768891234,493.51015916792
"S093","China",93.7386682283128,689.538683429207,525.292222343919
"S094","China",66.6587244171856,685.39676213817,519.149592639619
"S095","China",77.1789212656822,681.46347857326,524.870791677176
"S096","China",81.5960211443116,666.246360740798,521.965283801686
"S097","China",83.3892124023058,697.148545617752,566.317397015097
"S098","China",77.2062451805888,685.140867185013,527.113354590347
"S099","China",70.3645865237917,698.881668455803,530.961541157218
"S100","China",62.4527972275747,708.996758322842,520.49964710776
"S101","India",88.0895224022913,693.618567342,505.376085999929
"S102","India",65.2031455854069,677.136251127223,525.760033727134
"S103","India",72.1228735944534,665.36963639561,532.031462795895
"S104","India",97.2715399751448,682.806142446032,528.298161764389
"S105","India",74.3122601396811,670.068519567287,495.298580388968
"S106","India",80.1706512463691,694.190658062559,518.03461513948
"S107","India",82.2239619074893,682.39551130602,523.05976625222
"S108","India",83.3348620078833,683.341120729033,526.896742292971
"S109","India",75.6653772800426,682.560755310664,539.478149528477
"S110","India",73.9082262567804,692.989457741046,520.238896813576
"S111","India",93.8133956375988,668.397060672491,561.7728349729
"S112","India",80.8594006273771,664.017810310721,532.660539090947
"S113","India",75.1137444109981,694.350623591125,537.267698350203
"S114","India",76.0759215588339,669.970014184945,529.460466338595
"S115","India",76.9263849925586,683.927539953008,544.116283169746
"S116","India",78.3428081165541,669.162975840908,533.313165926495
"S117","India",77.7443978183338,672.904180778577,503.514944956288
"S118","India",81.4361244908874,651.633313043699,541.137894201442
"S119","India",87.1143938747111,655.739126862278,519.594875705609
"S120","India",91.0175359337366,685.249154977848,548.191887531488
"S121","India",82.1400995321577,674.086158510648,526.10941310724
"S122","India",68.5302691640281,668.642536360039,526.342096784067
"S123","India",85.3004124945786,677.709466737396,528.627426276927
"S124","India",89.2758334047947,665.376474097933,530.675072970487
"S125","India",75.4027435336861,671.409441234923,536.72779378781
"S126","India",78.9526216447704,683.650587243802,520.990268203962
"S127","India",86.6106904154958,705.868795924072,519.153965194279
"S128","India",72.6464163450913,658.841604633854,520.623870447251
"S129","India",76.9966013794146,682.560701972596,528.286545121123
"S130","India",70.6882491575104,687.066774655257,516.265083000875
"S131","India",82.8001636767993,661.375679815567,524.986326839337
"S132","India",68.9389422299438,671.890057467741,519.940678321968
"S133","India",76.0022843940167,674.46684922325,537.232257342816
"S134","India",81.6527388068295,663.10528964063,552.870410065654
"S135","India",79.5094410759405,654.395766978281,532.807467695986
"S136","India",88.2380396184371,663.027407325353,531.901437583228
"S137","India",81.0799959864645,661.800061644488,529.184308249623
"S138","India",70.7125731531405,664.118605127939,525.114701943172
"S139","India",79.0742375195916,686.043023300009,540.475344535425
"S140","India",69.869913596915,685.46149121927,533.371975148793
"S141","India",75.8354707813663,681.386878970996,516.066699105693
"S142","India",76.9071568218684,686.928274091847,527.449546015758
"S143","India",78.3700958425642,680.201460776615,523.332167510578
"S144","India",75.2311604632885,675.452629907185,530.534895772699
"S145","India",87.7860744868506,657.008213439278,521.378519117677
"S146","India",73.7417744430295,656.939988552525,519.284270972954
"S147","India",87.6795250593823,681.312455597784,538.391166012857
"S148","India",75.5581791962435,686.125870299737,535.31213626251
"S149","India",88.2061126971443,674.1387364467,526.65216177341
"S150","India",69.7636899789475,706.267334621786,529.78187139709
"S151","India",85.2648824867823,693.126406762614,521.61515346706
"S152","India",89.2795991155881,680.313140612892,531.420535568356
"S153","India",70.0841157680136,659.995927558977,515.480379079993
"S154","India",77.1251098232301,683.160613473251,530.957659720088
"S155","India",77.5460751827025,653.351690779928,514.441992848706
"S156","India",92.933285347916,662.407222387047,529.340677845447
"S157","India",79.0077285062477,702.862631314421,535.586790394772
"S158","India",85.4718580694339,681.264848081422,533.056839886471
"S159","India",75.7176972621424,690.938209750734,521.412323224254
"S160","India",86.4458865107219,662.167383284569,528.551195005638
"S161","India",81.8907931373699,674.677447983423,544.315519726292
"S162","India",75.9930823641479,672.991530077462,538.406766829155
"S163","India",82.0770154803783,660.054631146906,530.460176180252
"S164","India",77.3394573956013,688.155164153358,518.762018599487
"S165","India",75.963059104548,690.360514447866,531.371010338256
"S166","India",81.600741074996,674.764971681943,535.559850825394
"S167","India",73.759178806666,683.78847635949,544.855104848474
"S168","India",87.2320745044108,692.248363401936,531.796977820663
"S169","India",84.9644667609072,657.279943145648,526.758959251281
"S170","India",88.7428349609785,683.419133033669,526.651593847948
"S171","India",86.4839106857072,666.233659784942,527.818830829505
"S172","India",97.8409722396027,660.264367324977,530.86309806639
"S173","India",83.6840598941215,660.288263763873,516.524075956693
"S174","India",80.0769304012729,674.956906863809,524.039919431416
"S175","India",83.1786939319355,675.638177615483,523.906716709646
"S176","India",81.4844450774054,687.693286619517,536.345251868046
"S177","India",75.542875599571,694.113916630927,521.335506174885
"S178","India",89.5293813873826,677.993399137822,509.285313829035
"S179","India",88.9141899539348,666.656281284101,511.679441778932
"S180","India",92.569285969437,690.260910672515,535.606847352432
"S181","India",85.219616160683,671.841914876051,531.117892298576
"S182","India",74.9363839937857,670.28849024575,531.955968451649
"S183","India",93.9583158096184,657.64582932812,527.411948963081
"S184","India",80.539540938016,703.329894521585,528.047329094374
"S185","India",80.1063067143937,674.277910914462,515.558191204403
"S186","India",86.9237782426119,678.872425784156,521.192076846733
"S187","India",74.3348678662277,666.055531700003,526.518299152436
"S188","India",73.7584348454866,675.121007091623,527.926976103053
"S189","India",81.7545507524997,672.877752425277,504.041643391875
"S190","India",85.4159498924099,647.052103790183,539.269701119319
"S191","India",86.3547221533568,669.939156483003,524.308479619914
"S192","India",71.3731018397341,680.185947453932,533.372588174424
"S193","India",89.8202947445535,689.839990242472,517.670966298727
"S194","India",76.155536731639,672.170210626294,531.096515055622
"S195","India",70.463895766194,667.621653437354,544.806758236649
"S196","India",74.90975702297,698.103618388399,517.21020892084
"S197","India",81.8302480100204,673.768229970003,528.792409255724
"S198","India",81.3364498652159,660.176831022365,520.46918300139
"S199","India",88.287020041318,672.711785108924,551.46272094017
"S200","India",80.7404155801415,678.723734073938,533.906563796152
